# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 27
# run: 1ad61329-5f20-4c58-a58b-0575253ee115
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	15	195	0	0	27.511842272949615	27.511842272949615	36.7873482145205	36.7873482145205	27.511842272949615	0.9960817657423182	27.511842272949615	3	true	51
26	15	15	1	15	15	195	0	0	29.75570428439807	29.75570428439807	40.72131851731268	40.72131851731268	29.75570428439807	0.9960817657423182	29.75570428439807	4	true	4
27	15	15	1	15	15	195	0	0	28.533661413094755	28.533661413094755	41.61576193159923	41.61576193159923	28.533661413094755	0.9959128826372083	28.533661413094755	5	true	3
28	18	18	1	18	15	195	0	0	23.06610621772099	23.06610621772099	43.399450508945826	43.399450508945826	23.06610621772099	0.9953460275915513	23.06610621772099	6	true	2
29	19	19	1	19	15	195	0	0	31.2063880623597	31.2063880623597	44.19117276676302	44.19117276676302	31.2063880623597	0.9950738772197893	31.2063880623597	4	true	2
30	20	19	1	19	15	195	0	0	29.988391595402923	29.988391595402923	44.235380610628944	44.235380610628944	29.988391595402923	0.9948198214664318	29.988391595402923	6	true	2
31	21	20	1	20	15	195	0	0	32.07194672960892	32.07194672960892	45.51725553691831	45.51725553691831	32.07194672960892	0.9943943237730386	32.07194672960892	6	true	2
32	23	23	1	23	15	195	0	0	33.768333511071	33.768333511071	45.98540777307264	45.98540777307264	33.768333511071	0.9933362455311775	33.768333511071	5	true	3
33	23	22	1	22	15	195	0	0	27.631642981155164	27.631642981155164	43.892210954995846	43.892210954995846	27.631642981155164	0.9928566833112785	27.631642981155164	7	true	11
34	24	23	1	23	15	195	0	0	33.468767620941655	33.468767620941655	45.84906688461823	45.84906688461823	33.468767620941655	0.9928430118218173	33.468767620941655	5	true	4
35	25	24	1	24	15	195	0	0	34.30309217528958	34.30309217528958	46.58824270499765	46.58824270499765	34.30309217528958	0.9924396663279258	34.30309217528958	5	true	4
36	27	24	1	24	15	195	0	0	33.1137215364629	33.1137215364629	46.18110033036706	46.18110033036706	33.1137215364629	0.992367434073446	33.1137215364629	5	true	2
37	30	27	1	27	15	195	0	0	29.717670355891922	29.717670355891922	45.611948880749495	45.611948880749495	29.717670355891922	0.9916381295647788	29.717670355891922	6	true	2
38	30	26	1	26	15	195	0	0	24.164448887391316	24.164448887391316	46.21551388042676	46.21551388042676	24.164448887391316	0.9913105621394785	24.164448887391316	8	true	1
39	31	27	1	27	15	195	0	0	28.195813709784304	28.195813709784304	45.96489060532267	45.96489060532267	28.195813709784304	0.9910688253485499	28.195813709784304	6	true	2
40	32	28	1	28	15	195	0	0	33.19323927041331	33.19323927041331	46.356715897719276	46.356715897719276	33.19323927041331	0.9906842324591866	33.19323927041331	5	true	2
41	36	33	1	33	15	195	0	0	35.83637897101207	35.83637897101207	45.84575705749094	45.84575705749094	35.83637897101207	0.9897196613564752	35.83637897101207	4	true	2
42	37	33	1	33	15	195	0	0	32.63653895376074	32.63653895376074	46.58730905596394	46.58730905596394	32.63653895376074	0.9897740183212581	32.63653895376074	5	true	5
43	38	33	1	33	15	195	0	0	26.670526392130114	26.670526392130114	46.56435571131926	46.56435571131926	26.670526392130114	0.98937823966779	26.670526392130114	7	true	2
44	38	33	1	33	15	195	0	0	35.063283918850374	35.063283918850374	45.965921699309874	45.965921699309874	35.063283918850374	0.9893939216704075	35.063283918850374	5	true	2
45	40	34	1	34	15	195	0	0	36.93643295997609	36.93643295997609	47.23778697730888	47.23778697730888	36.93643295997609	0.988692581572002	36.93643295997609	5	true	2
46	43	35	1	35	15	195	0	0	24.161407209885134	24.161407209885134	46.54436380690891	46.54436380690891	24.161407209885134	0.987809381419934	24.161407209885134	7	true	2
47	44	37	1	37	15	195	0	0	38.887586161566716	38.887586161566716	46.91964249146959	46.91964249146959	38.887586161566716	0.9873964585724626	38.887586161566716	4	true	1
48	45	39	1	39	15	195	0	0	40.71767603501934	40.71767603501934	46.70388951473983	46.70388951473983	40.71767603501934	0.987224395201088	40.71767603501934	3	true	2
49	48	39	1	39	15	195	0	0	17.43924330366393	17.43924330366393	45.69045602660338	45.69045602660338	17.43924330366393	0.9865585497985832	17.43924330366393	8	true	2
50	49	41	1	41	15	195	0	0	31.91134899003078	31.91134899003078	45.193008807882975	45.193008807882975	31.91134899003078	0.9861522799219189	31.91134899003078	5	true	6
51	51	43	1	43	15	195	0	0	31.08714220574369	31.08714220574369	46.70342485092657	46.70342485092657	31.08714220574369	0.9859693597795013	31.08714220574369	5	true	2
52	52	43	1	43	15	195	0	0	41.01620355992846	41.01620355992846	46.67126967446285	46.67126967446285	41.01620355992846	0.9855091715954701	41.01620355992846	3	true	3
53	52	43	1	43	15	195	0	0	20.443469222858567	20.443469222858567	47.25862006988152	47.25862006988152	20.443469222858567	0.9851851134294969	20.443469222858567	7	true	2
54	55	46	1	46	15	195	0	0	31.088683550640482	31.088683550640482	46.11908878452266	46.11908878452266	31.088683550640482	0.9842499323736482	31.088683550640482	5	true	2
55	60	49	1	49	15	195	0	0	32.57028555729983	32.57028555729983	46.98058570994018	46.98058570994018	32.57028555729983	0.9830758658000742	32.57028555729983	5	true	3
56	62	54	1	54	15	195	0	0	38.336060562447955	38.336060562447955	47.914393109113696	47.914393109113696	38.336060562447955	0.982454909673127	38.336060562447955	4	true	3
57	62	52	1	52	15	195	0	0	34.30367424262768	34.30367424262768	46.714245978197944	46.714245978197944	34.30367424262768	0.9825006397087311	34.30367424262768	5	true	2
58	63	53	1	53	15	195	0	0	26.239408354135882	26.239408354135882	45.7696975618016	45.7696975618016	26.239408354135882	0.9815942638231917	26.239408354135882	7	true	3
59	64	54	1	54	15	195	0	0	37.68728318405675	37.68728318405675	46.037053016324684	46.037053016324684	37.68728318405675	0.9797750053004435	37.68728318405675	3	true	2
60	66	55	1	55	15	195	0	0	33.11977331414865	33.11977331414865	46.997464464414755	46.997464464414755	33.11977331414865	0.9788168678398312	33.11977331414865	5	true	7
61	70	56	1	56	15	195	0	0	34.28447882899169	34.28447882899169	45.53744604066459	45.53744604066459	34.28447882899169	0.9760682770267796	34.28447882899169	4	true	3
62	75	62	1	62	15	195	0	0	43.99185887398793	43.99185887398793	47.66602661220086	47.66602661220086	43.99185887398793	0.9754068181984338	43.99185887398793	2	true	3
63	77	63	1	63	15	195	0	0	30.566193867376853	30.566193867376853	46.466971289073	46.466971289073	30.566193867376853	0.9750792142183486	30.566193867376853	5	true	3
64	79	66	1	66	15	195	0	0	30.56561304699381	30.56561304699381	46.760384790003236	46.760384790003236	30.56561304699381	0.974481433824873	30.56561304699381	5	true	3
65	83	69	1	69	15	195	0	0	37.51573589656641	37.51573589656641	46.47781118227677	46.47781118227677	37.51573589656641	0.9733025785745093	37.51573589656641	4	true	3
66	86	71	1	71	15	195	0	0	37.21625429211646	37.21625429211646	46.47201908296532	46.47201908296532	37.21625429211646	0.9714981612943315	37.21625429211646	4	true	3
67	89	73	1	73	15	195	0	0	21.920599709464177	21.920599709464177	46.37854093261668	46.37854093261668	21.920599709464177	0.9706407688202304	21.920599709464177	6	true	6
68	91	72	1	72	15	195	0	0	9.699568442937554	9.699568442937554	46.37511895515805	46.37511895515805	9.699568442937554	0.9694580387626934	9.699568442937554	8	true	4
69	94	76	1	76	15	195	0	0	31.864535587473448	31.864535587473448	46.425265550016945	46.425265550016945	31.864535587473448	0.9689355612256086	31.864535587473448	5	true	4
70	96	75	1	75	15	195	0	0	9.73392014660233	9.73392014660233	46.740102266995535	46.740102266995535	9.73392014660233	0.9686139887849918	9.73392014660233	8	true	3
71	100	79	1	79	15	195	0	0	21.28769908822882	21.28769908822882	46.462625024709666	46.462625024709666	21.28769908822882	0.9674254830714791	21.28769908822882	6	true	4
72	104	83	1	83	15	195	0	0	9.73376894117451	9.73376894117451	46.45062765293967	46.45062765293967	9.73376894117451	0.9667894298184688	9.73376894117451	8	true	9
73	110	88	1	88	15	195	0	0	19.901137617009873	19.901137617009873	46.43069187756513	46.43069187756513	19.901137617009873	0.9641987922299147	19.901137617009873	6	true	4
74	115	94	1	94	15	195	0	0	23.155072727132378	23.155072727132378	44.93159013473383	44.93159013473383	23.155072727132378	0.9601053143345929	23.155072727132378	6	true	5
75	117	94	1	94	15	195	0	0	22.12727350903794	22.12727350903794	45.19269578787185	45.19269578787185	22.12727350903794	0.9589584810755879	22.12727350903794	5	true	4
76	122	97	1	97	15	195	0	0	8.00341026499093	8.00341026499093	45.19371805110538	45.19371805110538	8.00341026499093	0.9580557972232984	8.00341026499093	8	true	14
77	122	96	1	96	15	195	0	0	22.856422012092125	22.856422012092125	45.8808923327624	45.8808923327624	22.856422012092125	0.9577897880553584	22.856422012092125	5	true	4
78	128	102	1	102	15	195	0	0	5.95568573222744	5.95568573222744	45.87610311659549	45.87610311659549	5.95568573222744	0.9556283401934479	5.95568573222744	6	true	5
79	136	111	1	111	15	195	0	0	11.75504463343588	11.75504463343588	46.19393555929736	46.19393555929736	11.75504463343588	0.9532949751793013	11.75504463343588	6	true	5
80	138	112	1	112	15	195	0	0	34.23763034850282	34.23763034850282	46.49607449871425	46.49607449871425	34.23763034850282	0.9523747450303771	34.23763034850282	5	true	6
81	139	111	1	111	15	195	0	0	27.35739472136882	27.35739472136882	46.757215347340704	46.757215347340704	27.35739472136882	0.9495761107171319	27.35739472136882	5	true	5
82	144	117	1	117	15	195	0	0	35.483063696140945	35.483063696140945	47.0624893559014	47.0624893559014	35.483063696140945	0.9474250444140636	35.483063696140945	4	true	6
83	151	124	1	124	15	195	0	0	24.66476886107882	24.66476886107882	46.394389894869214	46.394389894869214	24.66476886107882	0.9452227648576925	24.66476886107882	6	true	5
84	153	125	1	125	15	195	0	0	29.965563945611315	29.965563945611315	45.81777869487159	45.81777869487159	29.965563945611315	0.943924631344997	29.965563945611315	5	true	6
85	158	129	1	129	15	195	0	0	28.56335076094539	28.56335076094539	46.34022322763034	46.34022322763034	28.56335076094539	0.9422319985962966	28.56335076094539	4	true	14
86	166	137	1	137	15	195	0	0	18.925257662688765	18.925257662688765	46.28040794291397	46.28040794291397	18.925257662688765	0.9401140509281263	18.925257662688765	5	true	18
87	173	144	1	144	15	195	0	0	25.30313484715764	25.30313484715764	46.65575121842898	46.65575121842898	25.30313484715764	0.9383289711290311	25.30313484715764	5	true	35
88	178	148	1	148	15	195	0	0	21.723312465096463	21.723312465096463	46.27002545918062	46.27002545918062	21.723312465096463	0.9366373984690854	21.723312465096463	6	true	6
89	184	152	1	152	15	195	0	0	21.689311363237053	21.689311363237053	46.75808593364618	46.75808593364618	21.689311363237053	0.93469999488233	21.689311363237053	7	true	11
90	194	163	1	163	15	195	0	0	42.49403442002796	42.49403442002796	46.79379596460935	46.79379596460935	42.49403442002796	0.932033213677338	42.49403442002796	2	true	8
91	198	167	1	167	15	195	0	0	40.11505340677664	40.11505340677664	47.07946680555051	47.07946680555051	40.11505340677664	0.9298525379986985	40.11505340677664	3	true	8
92	200	168	1	168	15	195	0	0	35.48175204585058	35.48175204585058	46.76113798484367	46.76113798484367	35.48175204585058	0.9285426338453439	35.48175204585058	4	true	22
93	203	168	1	168	15	195	0	0	35.41584007026421	35.41584007026421	46.66105653233307	46.66105653233307	35.41584007026421	0.927103289199523	35.41584007026421	4	true	7
94	209	175	1	175	15	195	0	0	31.46229604447685	31.46229604447685	47.692109103317044	47.692109103317044	31.46229604447685	0.9246224987388598	31.46229604447685	5	true	8
95	217	180	1	180	15	195	0	0	41.692989647808865	41.692989647808865	47.09302011660484	47.09302011660484	41.692989647808865	0.9217369371477032	41.692989647808865	3	true	8
96	221	183	1	183	15	195	0	0	41.09324816654178	41.09324816654178	47.39374733934578	47.39374733934578	41.09324816654178	0.9206606911778681	41.09324816654178	3	true	8
97	227	187	1	187	15	195	0	0	39.81584074107852	39.81584074107852	46.79337986874688	46.79337986874688	39.81584074107852	0.9189187825794517	39.81584074107852	3	true	18
98	235	191	1	191	15	195	0	0	34.234335486433864	34.234335486433864	46.17705789948453	46.17705789948453	34.234335486433864	0.9176831211937329	34.234335486433864	5	true	19
99	244	197	1	197	15	195	0	0	33.1827339872813	33.1827339872813	46.76471820196514	46.76471820196514	33.1827339872813	0.9143189478070783	33.1827339872813	4	true	17
100	255	208	1	208	15	195	0	0	34.48255378253389	34.48255378253389	47.06329968019799	47.06329968019799	34.48255378253389	0.9105441545243858	34.48255378253389	4	true	19
101	263	218	1	218	15	195	0	0	38.514495347721535	38.514495347721535	47.07810731187884	47.07810731187884	38.514495347721535	0.9061151402607087	38.514495347721535	3	true	20
102	266	217	1	217	15	195	0	0	38.512802606685085	38.512802606685085	47.06188932269393	47.06188932269393	38.512802606685085	0.9039175031619892	38.512802606685085	3	true	10
103	273	223	1	223	15	195	0	0	42.090432418221866	42.090432418221866	47.37232622939324	47.37232622939324	42.090432418221866	0.9020799306921286	42.090432418221866	2	true	10
104	280	228	1	228	15	195	0	0	34.13130055948603	34.13130055948603	46.413378659029135	46.413378659029135	34.13130055948603	0.8976752253602476	34.13130055948603	4	true	38
105	288	235	1	235	15	195	0	0	26.594445454646987	26.594445454646987	47.332920225747856	47.332920225747856	26.594445454646987	0.8947692296444684	26.594445454646987	4	true	21
106	293	236	1	236	15	195	0	0	22.514894123408734	22.514894123408734	46.73433729346113	46.73433729346113	22.514894123408734	0.8923715647641123	22.514894123408734	5	true	26
107	304	246	1	246	15	195	0	0	25.581398941477538	25.581398941477538	46.13469574059439	46.13469574059439	25.581398941477538	0.8901410649139867	25.581398941477538	5	true	20
108	313	253	1	253	15	195	0	0	23.893697984578637	23.893697984578637	46.100232756301	46.100232756301	23.893697984578637	0.8870182262156295	23.893697984578637	4	true	22
109	323	261	1	261	15	195	0	0	26.19232921989704	26.19232921989704	45.83062197155352	45.83062197155352	26.19232921989704	0.8845881372412836	26.19232921989704	3	true	23
110	328	265	1	265	15	195	0	0	32.189413042159345	32.189413042159345	45.8255769971451	45.8255769971451	32.189413042159345	0.8823143199713409	32.189413042159345	4	true	24
111	340	275	1	275	15	195	0	0	24.734910480570115	24.734910480570115	46.09465045019215	46.09465045019215	24.734910480570115	0.8781051461825837	24.734910480570115	6	true	23
112	345	276	1	276	15	195	0	0	37.26484576836119	37.26484576836119	46.7073705679339	46.7073705679339	37.26484576836119	0.8746510114708914	37.26484576836119	3	true	23
113	351	280	1	280	15	195	0	0	34.67289223907797	34.67289223907797	47.00200025596012	47.00200025596012	34.67289223907797	0.8727866808986627	34.67289223907797	3	true	23
114	361	284	1	284	15	195	0	0	29.985181178234726	29.985181178234726	45.794728614564775	45.794728614564775	29.985181178234726	0.8686332897112902	29.985181178234726	4	true	21
115	370	291	1	291	15	195	0	0	44.44420203238527	44.44420203238527	46.73463682268864	46.73463682268864	44.44420203238527	0.8661862027620795	44.44420203238527	1	true	23
116	377	296	1	296	15	195	0	0	43.963659778370605	43.963659778370605	48.26383624477655	48.26383624477655	43.963659778370605	0.864203032584935	43.963659778370605	2	true	24
117	383	301	1	301	15	195	0	0	43.992528354979946	43.992528354979946	47.680255689302136	47.680255689302136	43.992528354979946	0.8587821042396238	43.992528354979946	2	true	24
118	398	313	1	313	15	195	0	0	41.69127066582485	41.69127066582485	47.03901545009217	47.03901545009217	41.69127066582485	0.8560528874624398	41.69127066582485	3	true	24
